event_id,account_id,user_id,event_type,event_date,duration_mins,participants_count,features_used
EVT00004050,ACC00185,USR001406,Phone,2024/08/01,45,,
EVT00007641,ACC00050,USR999921,Phone,09/10/2024,60,30,
EVT00000766,ACC00374,USR003040,meeting,2024-07-21,60,73,"screen_share,recording,breakout_rooms"
EVT00002345,ACC00036,USR000307,phone,07/11/2024,220,81,
EVT00004072,ACC00009,USR000020,MEETING,2024-07-25,15,95,"recording,breakout_rooms"
EVT00007217,ACC00275,USR002206,meeting,09/30/2024,98,16,"recording,breakout_rooms"
EVT00004217,ACC00143,USR001093,webinar,2024/09/01,376,3,
EVT00007953,ACC00388,USR003118,MEETING,09/21/2024,60,39,
EVT00005971,ACC00071,USR000556,Meeting,2024-08-18,76,67,
EVT00003351,ACC00156,USR001197,phone,2024/08/11,45,28,
EVT00004696,ACC00009,USR000019,phone,2024-07-22,-30,18,screen_share
EVT00003400,ACC00031,USR001684,Phone,08/12/2024,15,11,
EVT00004082,ACC00290,USR002356,Webinar,,98,40,
EVT00009150,ACC00330,USR002692,webinar,,30,86,
EVT00001225,ACC00317,USR002597,webinar,2024-08-14,30,92,breakout_rooms
EVT00006293,ACC00039,USR000226,Phone,,317,23,"recording,breakout_rooms"
EVT00003123,ACC00322,USR002630,Webinar,2024-08-02,15,88,
EVT00000511,ACC00075,USR000594,Webinar,2024/09/12,60,34,breakout_rooms
EVT00005795,ACC00014,USR000096,MEETING,2024-09-06,15,83,
EVT00008182,ACC00294,USR002387,meeting,27-09-2024,0,89,"screen_share,recording"
EVT00009418,ACC00158,USR001222,phone,24-09-2024,69,48,
EVT00000097,ACC00044,USR000360,Meeting,2024-09-22,15,11,
EVT00006682,ACC00022,USR000147,Meeting,2024-07-08,30,,
EVT00001513,ACC00082,USR000646,Webinar,2024-08-09,45,82,
EVT00008792,ACC00010,USR002992,Phone,07/07/2024,30,62,"screen_share,recording"
EVT00000120,ACC00334,USR002709,Phone,04-07-2024,30,81,
EVT00007792,ACC00249,USR002000,webinar,23-08-2024,66,60,
EVT00006518,ACC00114,USR000858,MEETING,26-09-2024,15,74,
EVT00000034,ACC00170,USR001314,MEETING,2024-08-23,389,84,"screen_share,recording,breakout_rooms"
EVT00007888,ACC00271,USR002180,Meeting,08/12/2024,60,33,
EVT00006831,ACC00239,USR001855,meeting,2024-07-28,80,46,
EVT00005422,ACC00091,USR000739,Phone,09/16/2024,15,95,
EVT00001069,ACC00366,USR002927,meeting,2024-08-17,60,26,"screen_share,breakout_rooms"
EVT00001348,ACC00077,USR000622,phone,2024-07-22,77,13,"screen_share,recording"
EVT00004748,ACC00046,USR000373,Webinar,2024-08-08,30,76,
EVT00006006,ACC00138,USR001075,Webinar,2024-09-06,444,38,
EVT00006040,ACC00263,USR002112,meeting,2024/08/02,248,90,
EVT00003818,ACC00022,USR000164,Phone,08/26/2024,120,80,
EVT00008447,ACC00114,USR000868,phone,08/23/2024,,27,recording
NULL,ACC00040,USR001535,Meeting,02-09-2024,111,34,
EVT00006898,ACC00010,USR002990,MEETING,2024/07/07,60,34,"screen_share,breakout_rooms"
EVT00005310,ACC00333,USR002701,webinar,2024/09/01,109,76,
EVT00000032,ACC00059,USR000443,Webinar,2024-07-06,111,2,
EVT00005675,ACC00388,USR003115,Meeting,2024-08-14,15,82,
EVT00004387,ACC00143,USR999778,Webinar,11-08-2024,329,30,breakout_rooms
EVT00000030,ACC00082,USR000655,phone,2024/09/16,251,98,"screen_share,recording,breakout_rooms"
EVT00004203,ACC00011,USR000064,Webinar,,45,73,
EVT00007508,ACC00004,USR001839,Phone,2024-09-16,82,54,screen_share
EVT00000736,ACC00036,USR000285,Webinar,,-30,77,recording
EVT00002068,ACC00135,USR001030,Meeting,02-08-2024,205,73,
EVT00000107,ACC00007,USR000711,Meeting,2024/09/05,15,,
EVT00009645,ACC00269,USR002172,MEETING,,96,42,
EVT00008895,ACC00388,USR003114,Webinar,,93,50,
EVT00008021,ACC00244,USR001924,webinar,2024-08-27,-30,57,breakout rooms
EVT00002233,ACC00248,USR001967,webinar,2024/09/08,309,19,
EVT00000994,ACC00087,USR000684,Phone,01-10-2024,332,21,"recording,breakout_rooms"
EVT00009413,ACC00015,USR000102,Meeting,2024-08-29,45,26,
EVT00007059,ACC00180,USR001397,Meeting,22-07-2024,30,78,screen_share
EVT00006790,ACC00012,USR002080,Phone,08/25/2024,100,82,screen_share
EVT00000361,ACC00122,USR000984,webinar,2024-07-29,476,57,"screen_share,recording"
EVT00000305,ACC00071,USR000579,phone,2024/09/20,112,76,
EVT00002628,ACC00096,USR000765,Phone,2024-07-11,15,92,
EVT00008966,ACC00117,USR000914,Webinar,2024-07-25,60,30,"screen_share,recording,breakout_rooms"
EVT00004514,ACC00047,USR000378,Meeting,2024-09-13,176,27,
EVT00005911,ACC00384,USR003100,webinar,2024-09-25,30,78,
EVT00008314,ACC00215,USR001654,MEETING,2024-09-04,30,72,"recording,breakout_rooms"
EVT00003101,ACC00368,USR002966,Webinar,2024-07-10,403,86,
EVT00005704,ACC00215,USR001659,phone,07/21/2024,,42,
EVT00003899,ACC00071,USR000578,webinar,2024-09-20,60,92,
EVT00005441,ACC00384,USR003081,phone,2024-08-08,60,32,
EVT00007931,ACC00314,USR002545,Phone,2024/07/29,30,39,
EVT00000622,ACC00170,USR001320,Phone,29-09-2024,30,86,
EVT00007236,ACC00215,USR001670,Webinar,2024-07-24,60,65,
EVT00002499,ACC00031,USR000256,meeting,2024-08-09,81,4,
EVT00000714,ACC00248,USR001972,phone,2024-08-19,106,14,
EVT00008404,ACC00384,USR003086,Webinar,15-08-2024,86,60,
EVT00002856,ACC00211,USR001589,meeting,2024/07/20,107,62,breakout_rooms
EVT00004270,ACC00020,USR000119,meeting,2024-08-22,30,7,"screen_share,recording,breakout_rooms"
EVT00002909,ACC00062,USR000472,phone,2024-09-11,88,69,
EVT00008081,ACC00115,USR000893,Meeting,2024-08-30,30,96,
EVT00004517,ACC00155,USR001185,phone,2024-07-25,45,18,
EVT00001262,ACC00087,USR000674,Meeting,2024-07-24,104,54,
EVT00003161,ACC00047,USR002479,Meeting,2024-09-15,,7,
EVT00000971,ACC00211,USR001588,Meeting,2024/07/30,267,41,
EVT00003913,ACC00317,USR002594,Webinar,2024-09-24,15,97,
EVT00005199,ACC99909,USR003288,Phone,2024/09/15,100,5,
EVT00008847,ACC00290,USR002369,Phone,08/12/2024,457,67,
EVT00000260,ACC00299,USR999574,webinar,2024-07-09,103,36,
EVT00003791,ACC00236,USR001817,meeting,2024-07-27,311,53,
EVT00009203,ACC00224,USR001720,MEETING,2024/09/22,375,8,
EVT00000488,ACC00356,USR002838,webinar,2024-07-23,15,38,
EVT00007908,ACC00087,USR000668,MEETING,07/01/2024,110,34,
EVT00000519,ACC00395,USR003213,webinar,2024-09-16,60,48,
EVT00008343,ACC00022,USR000177,Meeting,09/28/2024,60,41,
EVT00000312,ACC00269,USR002172,Phone,2024-08-30,72,99,
EVT00003232,ACC00179,USR001380,Meeting,2024/07/22,356,95,
EVT00007933,ACC00195,USR001477,meeting,08/27/2024,439,12,
EVT00007458,ACC00039,USR000313,Meeting,08/27/2024,45,28,
EVT00009784,ACC00263,USR002111,meeting,09/08/2024,104,65,
EVT00005184,ACC00187,USR001419,Phone,N/A,135,52,recording
EVT00008077,ACC00269,USR002160,Phone,2024/08/05,60,51,
EVT00006502,ACC00053,USR000411,Webinar,09/05/2024,60,10000,
EVT00006791,ACC00370,USR002999,Webinar,2024-07-31,60,14,"recording,breakout rooms"
EVT00007773,ACC00039,USR000339,Phone,08-09-2024,30,26,
EVT00002738,ACC00207,USR001569,phone,09/04/2024,30,67,
EVT00007842,ACC00236,USR001811,Meeting,2024-09-02,45,7,"screen_share,recording,breakout_rooms,polling"
EVT00006262,ACC00395,USR003219,Phone,,86,78,
EVT00008206,ACC00242,USR001904,webinar,08/18/2024,60,4,
EVT00001248,ACC00376,USR003050,Webinar,09/26/2024,87,76,breakout_rooms
EVT00009336,ACC00204,USR001523,phone,24-09-2024,216,38,recording
EVT00004195,ACC00269,USR002156,phone,15-08-2024,60,48,
EVT00008001,ACC00011,USR000066,Phone,08/09/2024,93,55,
EVT00007378,ACC00214,USR001628,Webinar,08/23/2024,119,39,breakout_rooms
EVT00003435,ACC00172,USR001328,phone,2024-08-24,93,5,
EVT00005382,ACC00245,USR001959,Phone,2024-08-07,15,18,
EVT00000959,ACC00069,USR000534,MEETING,2024/08/15,467,2,
EVT00000417,ACC00173,USR001350,webinar,07/29/2024,60,15,
EVT00005742,ACC00121,USR000974,Phone,13-09-2024,353,53,
EVT00006728,ACC00204,USR001515,MEETING,25-09-2024,45,62,
EVT00004382,ACC00113,USR000852,Webinar,2024/08/14,71,35,"SCREEN_SHARE,RECORDING"
EVT00005197,ACC00356,USR002835,MEETING,2024-08-22,15,27,"screen_share,recording,breakout_rooms,polling"
EVT00001113,ACC00320,USR002602,MEETING,2024-09-03,15,56,
EVT00002689,ACC00301,USR002454,Meeting,2024-09-19,61,15,
EVT00006473,ACC00082,USR000644,MEETING,2024/08/19,15,51,screen_share
EVT00008820,ACC00075,USR999745,meeting,2024/07/08,72,0,
EVT00007808,ACC00290,USR002361,Webinar,03-08-2024,359,80,
EVT00003411,ACC00194,USR001451,Phone,,336,63,"recording,breakout_rooms"
EVT00000081,ACC00036,USR999807,webinar,07/05/2024,45,18,
EVT00004614,ACC00280,USR002244,MEETING,16-09-2024,65,42,
EVT00001374,ACC00161,USR001248,webinar,2024-07-12,97,79,
EVT00001510,ACC00384,USR003080,phone,11-09-2024,60,85,breakout_rooms
EVT00006443,ACC00022,USR000140,Phone,2024/08/05,78,38,
EVT00003071,ACC00010,USR002969,Meeting,10/01/2024,335,89,"recording,breakout_rooms"
EVT00003016,ACC00358,USR002863,MEETING,2024-07-30,99999,20,breakout_rooms
EVT00004823,ACC00299,USR999017,Meeting,07/29/2024,,12,
EVT00007822,ACC00185,USR001416,Webinar,2024-08-14,30,23,
EVT00000093,ACC00253,USR002055,Meeting,2024/09/13,60,6,
EVT00009421,ACC00039,USR000320,Phone,17-09-2024,45,30,"recording,breakout_rooms"
EVT00006600,ACC00274,USR002186,Meeting,2024-07-26,300,48,
EVT00004443,ACC00244,USR001922,MEETING,2024/08/23,106,12,
EVT00007602,ACC00317,USR002583,Phone,2024/09/18,144,36,
EVT00003835,ACC00057,USR000438,Meeting,2024-09-13,60,8,"screen_share,breakout_rooms"
EVT00009702,ACC00019,USR000706,phone,2024-08-18,158,18,
EVT00004322,ACC00296,USR002417,meeting,2024-07-15,394,48,recording
EVT00003394,ACC00248,USR001989,Webinar,2024/09/21,60,90,
EVT00004752,ACC00242,USR001894,Meeting,2024-09-03,60,69,
EVT00007229,ACC00022,USR000142,meeting,07/04/2024,421,14,
EVT00009191,ACC00384,USR003090,MEETING,09/18/2024,60,97,
EVT00002361,ACC00388,USR003127,phone,05-07-2024,135,35,"screen_share,recording"
EVT00001148,ACC00106,USR000806,Meeting,09/06/2024,N/A,7,
EVT00005666,ACC00120,USR000964,Webinar,2024/08/21,328,61,"screen_share,recording,breakout_rooms,polling"
EVT00008075,ACC00242,USR001900,Webinar,08/30/2024,30,89,
EVT00004943,ACC00236,USR001804,MEETING,07/30/2024,221,12,
EVT00003663,ACC00188,USR999493,Webinar,20-09-2024,60,4,
EVT00001563,ACC00154,USR999686,Phone,04-09-2024,113,14,
EVT00004113,ACC00063,USR000491,meeting,2024-09-25,343,78,breakout_rooms
EVT00009050,ACC00194,USR001451,Meeting,2024-08-02,30,73,
EVT00009276,ACC00204,USR001511,phone,NULL,293,97,
EVT00008538,ACC00036,USR000274,webinar,08/20/2024,328,6,
EVT00000795,ACC00352,USR002816,Phone,2024/09/10,-30,44,
EVT00005854,ACC00090,USR000715,Webinar,2024/07/30,15,5,
EVT00007619,ACC00092,USR000756,Meeting,2024/08/07,85,59,
EVT00001594,ACC00363,USR002910,webinar,2024-09-19,30,63,breakout_rooms
EVT00007418,ACC00039,USR000339,Phone,09/01/2024,15,22,"screen_share,recording,breakout_rooms,polling"
EVT00005267,ACC00391,USR003168,meeting,10-08-2024,30,97,
NULL,ACC00087,USR000669,phone,2024-10-01,45,89,
EVT00000089,ACC00019,USR000702,MEETING,N/A,60,4,
EVT00008695,ACC00114,USR000868,MEETING,2024-08-21,117,54,
EVT00009732,ACC00068,USR000503,MEETING,2024-07-10,99,10,
EVT00009446,ACC00330,USR002683,phone,2024-08-24,241,10000,
EVT00006754,ACC00242,USR999482,MEETING,2024-09-12,45,42,
EVT00003502,ACC00014,USR002621,webinar,2024-09-04,99999,91,
EVT00002234,ACC00047,USR002478,MEETING,2024/07/13,445,58,
EVT00002803,ACC00215,USR001658,phone,14-09-2024,45,57,
EVT00004424,ACC00154,USR001149,webinar,08/29/2024,N/A,56,"screen_share,recording"
EVT00005663,ACC00208,USR001573,phone,2024-07-04,60,78,"screen_share,recording"
EVT00007170,ACC00082,USR000655,phone,08/07/2024,45,74,"screen_share,breakout_rooms"
EVT00008337,ACC00032,USR003234,Webinar,2024-07-05,117,14,"recording,breakout_rooms"
EVT00002148,ACC00052,USR000403,MEETING,2024-07-22,45,86,
EVT00007969,ACC00204,USR001517,webinar,2024-07-18,90,14,
EVT00006551,ACC00098,USR000775,Phone,2024-09-19,60,86,"screen_share,recording,breakout_rooms,polling"
EVT00007643,ACC00120,USR000958,Webinar,09/25/2024,30,-5,
EVT00006164,ACC00156,USR001213,webinar,08/17/2024,109,26,
EVT00001495,ACC00384,USR003086,Phone,2024-07-29,402,87,
EVT00007696,ACC00047,USR002479,MEETING,04-08-2024,375,7,
EVT00007094,ACC00388,USR003131,Meeting,09/05/2024,30,49,
EVT00001409,ACC00053,USR000410,Webinar,08/18/2024,0,10,
EVT00006691,ACC00339,USR002725,Meeting,13-08-2024,30,61,
EVT00003401,ACC00014,USR000097,Meeting,2024/08/31,30,45,
EVT00000109,ACC00082,USR000637,MEETING,2024-09-03,45,63,
EVT00005636,ACC00050,USR002532,phone,09/07/2024,45,87,screen_share
EVT00008482,ACC00003,USR000009,Phone,2024-09-11,60,64,
EVT00006604,ACC00214,USR001644,webinar,08-09-2024,30,29,"recording,breakout_rooms"
EVT00001091,ACC00204,USR999799,Phone,2024-07-23,454,93,"screen_share,breakout_rooms"
EVT00005560,ACC00268,USR002127,Meeting,2024-07-08,45,97,
EVT00009412,ACC00012,USR002094,phone,08/17/2024,30,18,
EVT00008143,ACC00263,USR999900,Meeting,2024-09-28,252,78,screen_share
EVT00008664,ACC00342,USR002752,webinar,2024-08-27,82,74,"screen_share,recording,breakout_rooms,polling"
NULL,ACC00010,USR002991,Webinar,2024/09/17,393,-5,screen_share
EVT00000624,ACC00358,USR002858,phone,10-09-2024,15,4,
EVT00006871,ACC00317,USR002586,MEETING,08/29/2024,30,30,"screen_share,recording,breakout_rooms"
EVT00004814,ACC00096,USR000763,meeting,04-09-2024,77,69,
EVT00006553,ACC00024,USR000195,meeting,08/24/2024,15,45,
EVT00007530,ACC00372,USR003017,Meeting,07/18/2024,15,37,
EVT00005796,ACC00090,USR000719,webinar,08/29/2024,,88,
EVT00007437,ACC00130,USR001004,webinar,2024-07-03,45,77,
EVT00004218,ACC00211,USR001599,Meeting,2024-09-21,71,7,
EVT00005941,ACC00295,USR002392,Phone,2024-09-13,80,13,
EVT00008501,ACC99999,USR999892,phone,2024-09-10,15,95,
EVT00006429,ACC00069,USR000525,meeting,09/12/2024,15,58,"screen_share,breakout_rooms"
EVT00006827,ACC00272,USR002183,Meeting,2024/09/17,15,2,
EVT00004131,ACC00113,USR000849,Webinar,2024/09/28,242,6,
EVT00007802,ACC00248,USR001994,Webinar,2024/07/27,30,28,breakout_rooms
EVT00007754,ACC00053,USR000409,Meeting,2024-09-15,45,17,"screen_share,breakout_rooms"
EVT00004722,ACC00048,USR999995,MEETING,2024-07-09,86,10,"screen_share,recording,breakout_rooms,polling"
EVT00001651,ACC00281,USR002285,MEETING,08-09-2024,30,9,
EVT00004141,ACC00209,USR001575,MEETING,2024/07/21,60,55,
EVT00001618,ACC00236,USR001811,Meeting,25-07-2024,,5,breakout_rooms
EVT00002030,ACC00370,USR002997,Webinar,02-09-2024,-30,50,
EVT00008518,ACC00211,USR001585,MEETING,07/07/2024,118,100,breakout_rooms
EVT00004576,ACC00096,USR000771,webinar,2024-09-06,45,85,
EVT00003993,ACC00008,USR000017,meeting,2024-07-25,187,56,
EVT00007377,ACC00156,USR001192,Webinar,NULL,129,88,
EVT00006150,ACC00295,USR002396,meeting,2024-07-01,64,34,
EVT00004909,ACC00039,USR000331,Webinar,05-09-2024,30,53,"screen_share,breakout_rooms"
EVT00005027,ACC00010,USR999210,webinar,2024/08/26,,16,
EVT00008261,ACC00351,USR002807,phone,09/25/2024,164,53,
EVT00004732,ACC00031,USR001681,MEETING,07/25/2024,15,11,recording
EVT00007549,ACC00193,USR001439,Phone,2024/09/30,244,60,
EVT00008135,ACC00357,USR002856,webinar,09/23/2024,30,80,
EVT00001607,ACC00239,USR001860,Phone,2024-07-02,98,61,"screen_share,recording,breakout_rooms,polling"
EVT00004774,ACC00388,USR003114,meeting,2024-08-15,15,69,"screen_share,recording,breakout_rooms,polling"
EVT00008110,ACC00286,USR002338,phone,2024-10-01,439,77,
EVT00006952,ACC00115,USR000889,webinar,2024-07-03,86,95,
EVT00006005,ACC00208,USR001573,meeting,01-10-2024,89,85,
EVT00007729,ACC00113,USR999928,Webinar,2024/07/26,30,97,"screen_share,recording,breakout_rooms,polling"
EVT00003542,ACC00156,USR001218,webinar,2024-09-16,60,44,
EVT00000389,ACC00010,USR000043,Phone,2024-09-29,45,9,
EVT00001795,ACC00114,USR000865,meeting,2024-09-15,15,60,
NULL,ACC00024,USR000200,Webinar,2024/08/08,101,7,
EVT00004920,ACC00155,USR001183,meeting,2024-07-14,60,67,
EVT00005538,ACC00010,USR002993,Phone,N/A,45,90,
EVT00003873,ACC00154,USR999513,Meeting,2024/08/16,45,17,"screen_share,breakout_rooms"
EVT00008869,ACC00296,USR002397,MEETING,2024-08-03,99,72,
,ACC00069,USR000514,webinar,2024-08-17,45,72,screen_share | recording | breakout_rooms
EVT00003413,ACC00143,USR001102,Phone,09/05/2024,226,14,
EVT00005460,ACC00391,USR003170,Webinar,19-09-2024,395,26,recording
EVT00004956,ACC00367,USR002962,webinar,2024-07-29,60,50,
EVT00007397,ACC00039,USR000235,Phone,2024-09-07,15,41,
EVT00005415,ACC00031,USR001707,meeting,07/04/2024,45,63,
EVT00007400,ACC00065,USR000494,webinar,01-08-2024,70,12,"screen_share,recording,breakout_rooms"
EVT00007415,ACC00376,USR003054,webinar,09/01/2024,15,30,
EVT00009101,ACC00039,USR000216,Meeting,25-09-2024,45,18,screen_share
EVT00004852,ACC00306,USR999364,phone,,330,99,
EVT00002026,ACC00362,USR002900,Meeting,2024/07/17,30,59,"screen_share,recording,breakout_rooms,polling"
EVT00002616,ACC00156,USR001216,Webinar,28-07-2024,114,38,
EVT00007389,ACC00399,USR003247,webinar,2024/08/22,432,73,
EVT00002927,ACC00392,USR003175,Meeting,2024/08/17,45,19,screen_share
EVT00001122,ACC00011,USR000060,Meeting,15-08-2024,60,44,
EVT00002911,ACC00208,USR001574,webinar,07/19/2024,110,44,
EVT00008147,ACC00022,USR000148,webinar,2024/07/28,217,71,
